Job Title,Role,Level,Company,Year Of Experiences,Location,Salary Range,Required Skills,Source Platform
Nhân Viên Đảm Bảo Chất Lượng Dịch Vụ - QA,Nhân Viên Đảm Bảo Chất Lượng Dịch Vụ - QA,N/A,Công Ty Cổ Phần Viễn Thông FPT,1 năm kinh nghiệm,"Số 10 Phạm Văn Bạch, Cầu Giấy, Hà Nội",1.5tr-25tr ₫/tháng,"Cải Tiến Chất Lượng, Phần mềm quản lý, Phân Tích Số Liệu, Quản Trị Mạng, Vận Hành Hệ Thống Mạng",https://www.vietnamworks.com/nhan-vien-djam-bao-chat-luong-dich-vu-qa-1848233-jv?source=searchResults&searchType=2&placement=1848683&sortBy=latest
Chuyên Viên Thiết Kế,Chuyên Viên Thiết Kế,N/A,CÔNG TY TNHH LAVITE,1 năm kinh nghiệm,"Số 17 Đường số 1, KDC Khang An, Phường Phú Hữu, Thành phố Thủ Đức, TP Hồ Chí Minh",12tr-18tr ₫/tháng,"Thiết Kế Đồ Họa, Sử Dụng Phần Mềm, Tư Duy Sáng Tạo, Quản Lý Thời Gian, Kỹ năng làm việc nhóm",https://www.vietnamworks.com/chuyen-vien-thiet-ke-1853323-jv?source=searchResults&searchType=2&placement=1853423&sortBy=latest
Senior Software Developer (Java/c#)[ Chấp Nhận Ứng Viên Đi Làm Sau Tết ],Senior Software Developer Java/c# Chấp Nhận Ứng Viên Đi Làm Sau Tết,Senior,"Amkor Technology Vietnam LLC.,",1 năm kinh nghiệm,"Yen Phong II-C IP, Cho Town, Yen Phong District, Bac Ninh, Viet Nam",Thương lượng,"C#, Java Database, Java Se, JavaScript ES4, Java Web",https://www.vietnamworks.com/senior-software-developer-java-c-sharp-chap-nhan-ung-vien-di-lam-sau-tet-1850196-jv?source=searchResults&searchType=2&placement=1850496&sortBy=latest
Solution Engineer (Ict/it Solutions),Solution Engineer Ict/it Solutions,N/A,Công Ty TNHH Công Nghệ Hồng Cơ,2 năm kinh nghiệm,"124 Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Thành phố Hồ Chí Minh, Việt Nam","$ 400-1,200 /tháng","Hạ Tầng Công Nghệ, Hạ Tầng Hệ Thống, Kỹ Thuật Máy Tính, ICT, IT Infrastructure Management",https://www.vietnamworks.com/solution-engineer-ict-it-solutions--1849218-jv?source=searchResults&searchType=2&placement=1849568&sortBy=latest
Data/senior Data Engineer,Data/senior Data Engineer,senior,Navigos Search's Client,5 năm kinh nghiệm,Hanoi,"$ 2,000-3,000 /tháng","Cloud Computing, Communication, Python, Scala",https://www.vietnamworks.com/datasenior-data-engineer-1851974-jv?source=searchResults&searchType=2&placement=1852174&sortBy=latest
Phú Quốc - Chuyên Viên Giám Sát IT - Dự Án Park Hyatt,Phú Quốc - Chuyên Viên Giám Sát IT - Dự Án Park Hyatt,N/A,Công Ty BIM Group Kiên Giang,Không yêu cầu năm kinh nghiệm,,"$ 900-1,200 /tháng","Quản Lý Cơ Điện, Giám Sát Cơ Điện, Điện Nhẹ, IT Project Management, IT Infrastructure Management",https://www.vietnamworks.com/phu-quoc-chuyen-vien-giam-sat-it-du-an-park-hyatt--1847022-jv?source=searchResults&searchType=2&placement=1847572&sortBy=latest
Consumer Banking Data Analyst,Consumer Banking Data Analyst,N/A,Cathay United Bank,3 năm kinh nghiệm,"Taipei, Taiwan",Thương lượng,"English, Chinese, Data Analytics, Data Processing, SQL",https://www.vietnamworks.com/consumer-banking-data-analyst-1851634-jv?source=searchResults&searchType=2&placement=1851834&sortBy=latest
IT Intern (Work in Long Thành - Shuttle Bus from Bien Hoa),IT Intern Work in Long Thành - Shuttle Bus from Bien Hoa,N/A,Mainetti (Vietnam),1 năm kinh nghiệm,"The 7th street, Longthanh IP, Longthanh district, Dongnai Province.",Thương lượng,"IT, SAP, Master Data Management SAP, SAP System, IT Management",https://www.vietnamworks.com/it-intern-work-in-long-thanh-shuttle-bus-from-bien-hoa-1855400-jv?source=searchResults&searchType=2&placement=1855400&sortBy=latest
Machine Learning Engineer,Machine Learning Engineer,N/A,Stimulai,Không yêu cầu năm kinh nghiệm,,"$ 800-1,500 /tháng","Python, Machine Learning, Data Mining, Artificial Intelligence",https://www.vietnamworks.com/machine-learning-engineer--1850513-jv?source=searchResults&searchType=2&placement=1850763&sortBy=latest
"Software Engineer - Integration Build (Opensource System, C, C++, Python)","Software Engineer - Integration Build Opensource System, C, C++, Python",N/A,LG Electronics R&D Vietnam,Không yêu cầu năm kinh nghiệm,"Tòa Lotte Mall 272 Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội","Tới $ 2,200 /tháng","C++, Python, Integration Management, Shell scripts, Linux",https://www.vietnamworks.com/software-engineer-integration-build-opensource-system-c-c-plus-plus-python-1838633-jv?source=searchResults&searchType=2&placement=1839033&sortBy=latest
Ads - Search Operation Specialist (Vietnam),Ads - Search Operation Specialist Vietnam,N/A,Công Ty TNHH Công Nghệ TikTok Việt Nam,1 năm kinh nghiệm,"LIM Tower 3 - 29A Nguyễn Đình Chiểu, phường Đa Kao, Quận 1, TP.HCM",Thương lượng,,https://www.vietnamworks.com/ads-search-operation-specialist-vietnam-1851261-jv?source=searchResults&searchType=2&placement=1851511&sortBy=latest
Business Analyst,Business Analyst,N/A,Titan Dealer Management Solutions Pty. Ltd.,4 năm kinh nghiệm,"25th Floor, The Flemington Tower 182, Le Dai Hanh, Ward 15, District 11, HCMC",Thương lượng,"Business Analysis, Software Lifecycle Management, Agile Methodologies, Data Analysis, User Acceptance Testing",https://www.vietnamworks.com/business-analyst-1848148-jv?source=searchResults&searchType=2&placement=1848598&sortBy=latest
Business Analysis Executive,Business Analysis Executive,N/A,Công Ty TNHH Coats Footwear Việt Nam,2 năm kinh nghiệm,"Nhà xưởng 57 đường 1-7, Khu Công Nghiệp Long Thành, Xã Tam An, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam","$ 1,000-1,500 /tháng","Business Analysis, Business Model, Forecast Analysis, Power BI, Sales Analysis",https://www.vietnamworks.com/business-analysis-executive-1851933-jv?source=searchResults&searchType=2&placement=1852133&sortBy=latest
Join The Ocean Villas As A IT Officer,Join The Ocean Villas As A IT Officer,N/A,The Ocean Villas At The Ocean Resort,2 năm kinh nghiệm,"Hoa Hai Ward, Ngu Hanh Son District, Danang city",Thương lượng,"System Administration, SQL Server, Technical Management, Windows Server, Backup",https://www.vietnamworks.com/join-the-ocean-villas-as-a-it-officer--1848631-jv?source=searchResults&searchType=2&placement=1849031&sortBy=latest
Project Process Analyst,Project Process Analyst,N/A,Công Ty TNHH Japfa Comfeed Việt Nam,Không yêu cầu năm kinh nghiệm,"398 Đ. Đồng Khởi, Tân Hiệp, Biên Hòa, Đồng Nai",Thương lượng,"English communication, Basic Python, FastAPI, Sql Queries",https://www.vietnamworks.com/project-process-analyst-1849719-jv?source=searchResults&searchType=2&placement=1850069&sortBy=latest
Full-Stack Developer (Đào Tạo Chuyển Đổi Sang Web3 Blockchain Expert) - Work Remotely,Full-Stack Developer Đào Tạo Chuyển Đổi Sang Web3 Blockchain Expert - Work Remotely,N/A,Công ty TNHH Đầu tư Citizen Pathway,2 năm kinh nghiệm,"Tầng 9, 1-1A-2 Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Thương lượng,"JavaScript, Typescript, React, Node.js, Blockchain",https://www.vietnamworks.com/full-stack-developer-djao-tao-chuyen-djoi-sang-web3-blockchain-expert-work-remotely-1853811-jv?source=searchResults&searchType=2&placement=1853911&sortBy=latest
Senior Full Stack Developer,Senior Full Stack Developer,Senior,SG Zone,8 năm kinh nghiệm,"17 P. Duy Tân, Dịch Vọng Hậu, Cầu Giấy, Hà Nội","$ 1,800-2,200 /tháng","PHP, JavaScript, Linux, REST API",https://www.vietnamworks.com/senior-full-stack-developer--1848240-jv?source=searchResults&searchType=2&placement=1848640&sortBy=latest
Thực Tập Sinh Công Nghệ Thông Tin,Thực Tập Sinh Công Nghệ Thông Tin,N/A,Công Ty TNHH Sản Xuất Và Kinh Doanh Vinfast - Thành Viên Của Vingroup,Không yêu cầu năm kinh nghiệm,"7 Bằng Lăng 1 Vinhomes Riverside, Long Biên, Hà Nội",Tới $ 200 /tháng,"Công nghệ thông tin, AI, Tiếng Anh, IT Software, Lập Trình",https://www.vietnamworks.com/thuc-tap-sinh-cong-nghe-thong-tin--1851602-jv?source=searchResults&searchType=2&placement=1851802&sortBy=latest
Data Controller & Plant Admin,Data Controller & Plant Admin,N/A,Unilever Vietnam,1 năm kinh nghiệm,"156 Nguyen Luong Bang, Tan Phu Ward, Dist.7",$ 600-700 /tháng,"Basic English, Data Analysis, Inventory Control, System Monitoring",https://www.vietnamworks.com/data-controller-and-plant-admin-1850587-jv?source=searchResults&searchType=2&placement=1850887&sortBy=latest
"DevOps Engineer (Network, Cloud)","DevOps Engineer Network, Cloud",N/A,Skylab Innogram Vietnam LLC,3 năm kinh nghiệm,"District 3, HCMC",Thương lượng,"DevOps, Network, Cloud, Service Operations, Shell Script",https://www.vietnamworks.com/devops-engineer-network-cloud-1-1-1-1-1-1-1-1-2--1850558-jv?source=searchResults&searchType=2&placement=1850858&sortBy=latest
IT Analyst (MES),IT Analyst MES,N/A,Công Ty TNHH Sản Xuất First Solar Việt Nam,Không yêu cầu năm kinh nghiệm,"Lot A1 & A2, Street D10, Dong Nam Industrial Zone, Binh My, Cu Chi, HCMC",Thương lượng,"SQL, Software Engineering, QC Systems",https://www.vietnamworks.com/it-analyst-mes--1848910-jv?source=searchResults&searchType=2&placement=1849310&sortBy=latest
PLM Maintenance Senior,PLM Maintenance Senior,Senior,VINFAST TRADING AND PRODUCTION JSC,5 năm kinh nghiệm,"Symphony Building, Chu Huy Man Street, Hanoi, Vietnam",Thương lượng,"Analytical Skills, Java Web Framework, Information Technology, Engineering Software, Framework",https://www.vietnamworks.com/plm-maintenance-senior-1854420-jv?source=searchResults&searchType=2&placement=1854470&sortBy=latest
Visual Designer,Visual Designer,N/A,Navigos Group,3 năm kinh nghiệm,"HCM Office: 20th Floor, E Town Central - 11 Doan Van Bo, Ward 13, District 4; Hanoi office: 8th Floor, V Building, 125-127 Ba Trieu St, Hai Ba Trung District",30tr-45tr ₫/tháng,"Creative Problem Solving, Figma, Graphic Design, Illustrator, Illustrator, Photoshop",https://www.vietnamworks.com/visual-designer-1848368-jv?source=searchResults&searchType=2&placement=1848818&sortBy=latest
(Senior) Software Backend Engineer,Senior Software Backend Engineer,Senior,TIKI Company Limited,3 năm kinh nghiệm,"Tikitopia, 52 Đường Út Tịch, Phường 4, Tân Bình, Hồ Chí Minh, Việt Nam",Thương lượng,"Java, Golang, Microservices, Ci/Cd Methodologies, Problem-solving",https://www.vietnamworks.com/-senior-software-backend-engineer-1849743-jv?source=searchResults&searchType=2&placement=1850043&sortBy=latest
Cyber Security Analyst/ Consultants,Cyber Security Analyst/ Consultants,N/A,C.E.O,3 năm kinh nghiệm,"Hà Nội, Việt Nam",Thương lượng,"Cyber Security, Azure, SOC, Cloud, Network Infrastructure",https://www.vietnamworks.com/cyber-security-analyst-consultants--1849634-jv?source=searchResults&searchType=2&placement=1849984&sortBy=latest
Data Analyst and Project Assistant,Data Analyst and Project Assistant,N/A,Bosch Global Software Technologies Company Limited,Không yêu cầu năm kinh nghiệm,"Etown 2, 364 Cong Hoa street, ward 13, Tan Binh district, HCM",Thương lượng,"Data analysis, Excel, SQL, Data Visualization",https://www.vietnamworks.com/data-analyst-and-project-assistant--1848999-jv?source=searchResults&searchType=2&placement=1849399&sortBy=latest
BI Developer,BI Developer,N/A,MDC Precision Vietnam,5 năm kinh nghiệm,"Factory No. 6, Vo Van Tan street, Nhon Trach 3 Industrial Park, Dong Nai","Từ $ 1,200 /tháng","Power BI, MS SQL, Database Development, Database Administration, Database Administration, Database Administration",https://www.vietnamworks.com/bi-developer-1853994-jv?source=searchResults&searchType=2&placement=1854094&sortBy=latest
Applied AI Scientist,Applied AI Scientist,N/A,Công Ty Cổ Phần Giải Pháp Gene,1 năm kinh nghiệm,186-188 Nguyễn Duy Dương P2 Q10,Thương lượng,"AI, Biological Data Analysis, Data Science, Ph.D, Master’s degree in AI",https://www.vietnamworks.com/applied-ai-scientist-1850732-jv?source=searchResults&searchType=2&placement=1850982&sortBy=latest
IT Infrastructure & Helpdesk Staff,IT Infrastructure & Helpdesk Staff,N/A,"Piaggio Vietnam Co., Ltd (Pvn)",Không yêu cầu năm kinh nghiệm,BIDV Tower - Hanoi; Factory in Vinh Phuc; Commercial Office in HCMC,Thương lượng,"IT Infrastructure Management, Information Security, IT Helpdesk, Network Administration, Technical Support",https://www.vietnamworks.com/it-infrastructure-helpdesk-staff--1851239-jv?source=searchResults&searchType=2&placement=1851489&sortBy=latest
Phát triển và Vận hành Giải pháp Công nghệ Thu hồi nợ,Phát triển và Vận hành Giải pháp Công nghệ Thu hồi nợ,N/A,Ngân Hàng TMCP Quốc Tế Việt Nam (VIB),2 năm kinh nghiệm,"Sailing Tower, số 111A Pasteur, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",Thương lượng,"Java, Problem Solving, Python, React Native, SQL",https://www.vietnamworks.com/phat-trien-va-van-hanh-giai-phap-cong-nghe-thu-hoi-no-1848339-jv?source=searchResults&searchType=2&placement=1848789&sortBy=latest
Chuyên Viên Lập Trình - Phòng Quản Trị Thông Tin,Chuyên Viên Lập Trình - Phòng Quản Trị Thông Tin,N/A,Trường Đại Học Nguyễn Tất Thành,1 năm kinh nghiệm,"300A Nguyễn Tất Thành, Phường 13, Quận 4, TP.HCM","$ 800-1,500 /tháng","C#, .Net, SQL, ASP.NET, Lập Trình Phần Mềm",https://www.vietnamworks.com/chuyen-vien-lap-trinh-phong-quan-tri-thong-tin--1847773-jv?source=searchResults&searchType=2&placement=1848273&sortBy=latest
Kỹ Sư AI,Kỹ Sư AI,N/A,Công Ty TNHH Canon Việt Nam,2 năm kinh nghiệm,"Lô A1, KCN Thăng Long, Kim Chung, Đông Anh, Hà Nội",Thương lượng,"TOEIC, AI/ML, Python, PyTorch, MLOps",https://www.vietnamworks.com/ky-su-ai--1848150-jv?source=searchResults&searchType=2&placement=1848600&sortBy=latest
Senior Data Engineer ( AWS ),Senior Data Engineer AWS,Senior,GTV VIETNAM,5 năm kinh nghiệm,,Thương lượng,"AWS Services, Python, Data Engineer, Data Modeling Expertise, Data Warehouse Systems",https://www.vietnamworks.com/senior-data-engineer-aws-1854793-jv?source=searchResults&searchType=2&placement=1854793&sortBy=latest
Nhân Viên Kiểm Thử Phần Mềm - Junior Tester,Nhân Viên Kiểm Thử Phần Mềm - Junior Tester,Junior,"Công Ty TNHH Thiết Bị Minh Tâm (Mitalab Co., Ltd)",Không yêu cầu năm kinh nghiệm,"Tòa nhà Mitalab 76 Giảng Võ, Đống Đa, Hà Nội.",Thương lượng,"Agile, MySQL, Testing, Test Cases, SQL",https://www.vietnamworks.com/nhan-vien-kiem-thu-phan-mem-junior-tester-1834996-jv?source=searchResults&searchType=2&placement=1835546&sortBy=latest
Chuyên Viên Phân Tích Dữ Liệu,Chuyên Viên Phân Tích Dữ Liệu,N/A,Công Ty Chứng Khoán Yuanta Việt Nam,2 năm kinh nghiệm,"Tầng 4, Tòa Nhà Saigon Centre, 65 Lê Lợi, Quận 1, TP. HCM",Tới 30tr ₫/tháng,"Power BI, Tableau, SQL, Cơ Sở Dữ Liệu, Warehouse Design",https://www.vietnamworks.com/chuyen-vien-phan-tich-du-lieu-1848130-jv?source=searchResults&searchType=2&placement=1848580&sortBy=latest
Senior Consultant - Application Management Services - Outsystems - My,Senior Consultant - Application Management Services - Outsystems - My,Senior,Deloitte Consulting SEA,5 năm kinh nghiệm,"18th Floor, Times Square Building, 22-36 Nguyen Hue, District 1, HCMC, Vietnam",Thương lượng,"Application Support, Outsystems Platform, Analytical Skills, Leadership Skills, English Speaking",https://www.vietnamworks.com/senior-consultant-application-management-services-outsystems-my-1848346-jv?source=searchResults&searchType=2&placement=1848796&sortBy=latest
Chuyên Viên NOC,Chuyên Viên NOC,N/A,Công Ty Cổ Phần Giải Pháp Công Nghệ Thông Tin Và Hạ Tầng Truyền Dẫn VinITIS,2 năm kinh nghiệm,"Tòa nhà Technopark, Khu đô thị Vinhomes Ocean Park, Đa Tốn, Gia Lâm, Hà Nội",Thương lượng,"Autocad, Hệ Thống Điện, Quản Lý Máy Chủ, Điện Công Nghiệp, Điện Lạnh",https://www.vietnamworks.com/chuyen-vien-noc-1854435-jv?source=searchResults&searchType=2&placement=1854485&sortBy=latest
IT Software Developer,IT Software Developer,N/A,"Framas Footwear Technologies Co., LTD",1 năm kinh nghiệm,"Nhon Trach II Industrial Park - Nhon Phu, Phu Hoi Commune, Nhon Trach District, Dong Nai Province",Thương lượng,"AI, Python, Machine Learning, Digital transformation, IT Software",https://www.vietnamworks.com/it-software-developer--1854947-jv?source=searchResults&searchType=2&placement=1854947&sortBy=latest
Senior IT Application Specialist,Senior IT Application Specialist,Senior,"Danieli – Industrielle Beteiligung Co., Ltd",3 năm kinh nghiệm,"LotA4b, Industrial Park inside Tan Thuan Export Processing Zone (E-Office park), Tan Thuan Dong Ward, District 7, HCM city",Thương lượng,"ERP, Microsoft Power Platform, SharePoint, Project Management, Quản Lý Dự Án",https://www.vietnamworks.com/senior-it-application-specialist-1849181-jv?source=searchResults&searchType=2&placement=1849531&sortBy=latest
Senior 3D Unity Developer,Senior 3D Unity Developer,Senior,Navigos Search's Client,3 năm kinh nghiệm,Hanoi / HCMC,"$ 1,200-1,600 /tháng","Unity 3D, C#, Game Design, Team Management, Communication",https://www.vietnamworks.com/senior-3d-unity-developer-1848195-jv?source=searchResults&searchType=2&placement=1848645&sortBy=latest
Kỹ Sư Viễn Thông & CNTT,Kỹ Sư Viễn Thông & CNTT,N/A,Công Ty Cổ Phần Công Nghệ Tiên Phát - Tpcoms,3 năm kinh nghiệm,"107 Nguyễn Đình Chiểu, Phường Đa Kao, Q1 - TPHCM",15tr-18tr ₫/tháng,"Network, OSI Model, Network Configuration, System Installation, English Communication",https://www.vietnamworks.com/ky-su-vien-thong-and-cntt-1847906-jv?source=searchResults&searchType=2&placement=1848406&sortBy=latest
"Chuyên Gia Quản Lý Rủi Ro An Ninh Thông Tin Cấp 2, Phòng Quản Trị Rủi Ro Hoạt Động, Khối Quản Trị Rủi Ro","Chuyên Gia Quản Lý Rủi Ro An Ninh Thông Tin Cấp 2, Phòng Quản Trị Rủi Ro Hoạt Động, Khối Quản Trị Rủi Ro",N/A,Ngân Hàng TMCP Đại Chúng Việt Nam,4 năm kinh nghiệm,Số 22 Ngô Quyền - Hà Nội - Việt Nam,"$ 1,000-2,000 /tháng","IT Security, Quản Trị Rủi Ro Thông Tin, An Ninh Dữ Liệu, Bảo Mật Dữ Liệu, An Ninh Thông Tin",https://www.vietnamworks.com/chuyen-gia-quan-ly-rui-ro-an-ninh-thong-tin-cap-2-phong-quan-tri-rui-ro-hoat-dong-khoi-quan-tri-rui-ro--1850065-jv?source=searchResults&searchType=2&placement=1850365&sortBy=latest
Mobile Developer (Tiếng Nhật N1~N4),Mobile Developer Tiếng Nhật N1~N4,N/A,Công Ty TNHH GMO-Z.com Financial System VN,Không yêu cầu năm kinh nghiệm,"5th Floor, Ocean Park Building, 1 Đào Duy Anh, Phương Mai, Đống Đa, Hà Nội","$ 1,000-3,000 /tháng","Tiếng Nhật N4, Unit Testing, Android, Mobile App Development, Kotlin",https://www.vietnamworks.com/mobile-developer-tieng-nhat-n1-n4--1853774-jv?source=searchResults&searchType=2&placement=1853874&sortBy=latest
