Job Title,Role,Level,year_of_experiences,Company,Location,Salary Range,Required Skills,Source Platform,Year Of Experiences
Phú Quốc - Chuyên Viên Giám Sát IT - Dự Án Park Hyatt,Phú Quốc - Chuyên Viên Giám Sát IT - Dự Án Park Hyatt,,Không yêu cầu năm kinh nghiệm,Công Ty BIM Group Kiên Giang,,"$ 900-1,200 /tháng","Quản Lý Cơ Điện, Giám Sát Cơ Điện, Điện Nhẹ, IT Project Management, IT Infrastructure Management",https://www.vietnamworks.com/phu-quoc-chuyen-vien-giam-sat-it-du-an-park-hyatt--1836021-jv?source=searchResults&searchType=2&placement=1836271&sortBy=date,
03 Project Manager & Business Analyst,03 Project Manager & Business Analyst,,3 năm kinh nghiệm,Thư Viện Pháp Luật,"Số 17 Nguyễn Gia Thiều, P6, Q3, TP. HCM (Gần Ngô Thời Nhiệm/Trần Quốc Thảo)","$ 1,700-3,000 /tháng","Lập Trình HTML, Quản Lý Điều Phối Dự Án, .NET, SQL Server, Business Analaysis",https://www.vietnamworks.com/03-project-manager-business-analyst-1838727-jv?source=searchResults&searchType=2&placement=1838877&sortBy=date,
Project Coordinator,Project Coordinator,,Không yêu cầu năm kinh nghiệm,The Grand Ho Tram,"Ho Tram, Phuoc Thuan, Xuyen Moc, Ba Ria Vung Tau",Thương lượng,"Điều Phối Dự Án, Project Coordination, Project Management, English",https://www.vietnamworks.com/project-coordinator--1830975-jv?source=searchResults&searchType=2&placement=1831475&sortBy=date,
Trưởng Bộ Phận Quản Lý Rủi Ro và Tuân Thủ CNTT,Trưởng Bộ Phận Quản Lý Rủi Ro và Tuân Thủ CNTT,,3 năm kinh nghiệm,Ngân Hàng TNHH Indovina – Hội Sở,"97A Nguyễn Văn Trỗi, P.11, Q. Phú Nhuận – Tp.HCM","$ 1,200-1,400 /tháng","IT Governance, IT Security GRC, IT Security, Bảo mật thông tin, Quản Lý Rủi Ro",https://www.vietnamworks.com/truong-bo-phan-quan-ly-rui-ro-va-tuan-thu-cntt-1834186-jv?source=searchResults&searchType=2&placement=1834386&sortBy=date,
Hanoi_Senior Python Dev (Onboard After Tet Holiday)_V000008,Hanoi_Senior Python Dev Onboard After Tet Holiday _V000008,,Không yêu cầu năm kinh nghiệm,Công Ty TNHH ZIGExN VeNtura,"11th Floor, Vina building, 131 Xo Viet Nghe Tinh, Ward 17, Binh Thanh Dist, HCMC, Vietnam",Thương lượng,"Python, Backend Development, Web Development, English Communication, Microservices",https://www.vietnamworks.com/hanoi-senior-python-dev-onboard-after-tet-holiday-v000008-1837934-jv?source=searchResults&searchType=2&placement=1838234&sortBy=date,
Kỹ Sư Helpdesk,Kỹ Sư Helpdesk,,3 năm kinh nghiệm,"Công Ty Cổ Phần Công Nghệ Thông Tin, Viễn Thông Và Tự Động Hoá Dầu Khí","Tầng 17 tòa nhà Icon4 số 243A Đê La Thành, Láng Thượng, Đống Đa, Hà Nội",Từ 180tr ₫/năm,"IT System Administration, IT Helpdesk, WAN, MCSA, Helpdesk Management",https://www.vietnamworks.com/ky-su-helpdesk--1840723-jv?source=searchResults&searchType=2&placement=1840723&sortBy=date,
IT Executive (Hanoi Head Office - 443),IT Executive Hanoi Head Office - 443,,3 năm kinh nghiệm,"Aeon Mall Vietnam Co., Ltd","HQ: 3rd Floor – East Office of AEON MALL Long Bien, No. 27 Co Linh Road, Long Bien ward, Long Bien Dist., Hanoi | Branch: 15th Floor, LIM Tower 3, 29A Nguyen Dinh Chieu Street, Dakao Ward, Dist. 1, HCMC",$ 650-800 /tháng,"Information Technology, Project Management, Infrastructure Security, Network, System Administration",https://www.vietnamworks.com/it-executive-hanoi-head-office-443--1844591-jv?source=searchResults&searchType=2&placement=1844641&sortBy=date,
Hardware Engineer,Hardware Engineer,,3 năm kinh nghiệm,,,"$ 1,000-1,500 /tháng","Hardware Design, PCB Design, Digital Electronics, Integrated Circuit Design, Problem-solving",https://www.vietnamworks.com/hardware-engineer-33-1845112-jv?source=searchResults&searchType=2&placement=1845412&sortBy=date,
System Architect,System Architect,,5 năm kinh nghiệm,Công Ty Cổ Phần Tập Đoàn Golden Gate,"Tầng 6, tòa nhà Toyota Thanh Xuân, 315 Trường  Chinh, Hà Nội",Thương lượng,"Software System Architecture, Linux, Java, .NET, PHP",https://www.vietnamworks.com/system-architect--1838982-jv?source=searchResults&searchType=2&placement=1839632&sortBy=date,
Chuyên Viên IT (Công Ty Chứng Khoán),Chuyên Viên IT Công Ty Chứng Khoán,,3 năm kinh nghiệm,Công Ty Cổ Phần Chứng Khoán Asam,"Số 3 Lê Thánh Tôn, P. Bến Nghé, Q1, Tp.HCM",Thương lượng,"Quản Trị Hệ Thống Mạng, Vận Hành Hệ Thống Phần Mềm, Cài Đặt Hệ Thống Ảo Hóa, Khắc Phục Lỗi Phần Mềm",https://www.vietnamworks.com/chuyen-vien-it-cong-ty-chung-khoan-1836049-jv?source=searchResults&searchType=2&placement=1836299&sortBy=date,
Quality Assurance Specialist,Quality Assurance Specialist,,Không yêu cầu năm kinh nghiệm,Arctx Solution LLC,"F7th, B tower of Epic building, Lane 19 Duy Tan, Cau Giay, Ha Noi",Thương lượng,"QA, Communications, Attention To Detail",https://www.vietnamworks.com/quality-assurance-specialist--1840320-jv?source=searchResults&searchType=2&placement=1840820&sortBy=date,
Presales Network Engineer,Presales Network Engineer,,5 năm kinh nghiệm,Công Ty TNHH Tổng Công Ty Công Nghệ & Giải Pháp CMC (CMC TS),"Tầng 14 & 16 Tòa nhà CMC, Phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội.","$ 1,000-2,000 /tháng","Consulting, English communication",https://www.vietnamworks.com/presales-network-engineer-1837874-jv?source=searchResults&searchType=2&placement=1837924&sortBy=date,
Senior Data Analyst,Senior Data Analyst,Senior,3 năm kinh nghiệm,Công Ty Cổ Phần Kinh Doanh F88,"Tòa nhà N01A, 275 Nguyễn Trãi, Thanh Xuân, Hà Nội","$ 900-1,500 /tháng","Data Analytics, Oracle, AWS, Phân Tích Dữ Liệu, Tài Chính",https://www.vietnamworks.com/senior-data-analyst--1838243-jv?source=searchResults&searchType=2&placement=1838293&sortBy=date,
"Japanese Business Operations Staff (in HCM, Hanoi, Da Nang)","Japanese Business Operations Staff in HCM, Hanoi, Da Nang",,2 năm kinh nghiệm,Hitachi Digital Services,"Floor 3rd, 4th Helios Building - Floor 9th QTSC9 Building, Quang Trung Software City, Tan Chanh Hiep Ward, District 12",Thương lượng,"Japanese, Document, Customer service skills, System Operations, English",https://www.vietnamworks.com/japanese-business-operations-staff-in-hcm-hanoi-da-nang-1841910-jv?source=searchResults&searchType=2&placement=1842160&sortBy=date,
Uipath Developer,Uipath Developer,,Không yêu cầu năm kinh nghiệm,Ngân Hàng TNHH Indovina – Hội Sở,"97A Nguyễn Văn Trỗi, P.11, Q. Phú Nhuận – Tp.HCM",Thương lượng,"UI Path, RPA, Phân Tích Nghiệp Vụ, RPA Coding, Test Case Design",https://www.vietnamworks.com/uipath-developer--1838202-jv?source=searchResults&searchType=2&placement=1838202&sortBy=date,
Quản Lý Dự Án CNTT,Quản Lý Dự Án CNTT,,5 năm kinh nghiệm,Công Ty TNHH Công Nghệ Nguyên Lộc,"P514, Tòa CT2A KĐT Mễ Trì Hạ, P.Mễ Trì,Q.Nam Từ Liêm, Hà Nội",500-750 ₫/tháng,"IT Phần Cứng, Quản Lý Dự Án, Project Management, Tư Vấn, Tư vấn kỹ thuật",https://www.vietnamworks.com/quan-ly-du-an-cntt--1840436-jv?source=searchResults&searchType=2&placement=1840936&sortBy=date,
"Bridge System Engineer (Brse, Japanese N1/n2) - Upto $2000","Bridge System Engineer Brse, Japanese N1/n2 - Upto $2000",,3 năm kinh nghiệm,TPS Software,"Waseco Building, Block C, 3rd Floor, No. 10, Pho Quang St., Ward 2, Tan Binh Dist, HCMC","$ 700-2,000 /tháng","Japanese N2, Software Process Development, Technical Specification Analysis, Kỹ Sư Cầu Nối, BrSE",https://www.vietnamworks.com/bridge-system-engineer-brse-japanese-n1-n2-upto-2000-1841394-jv?source=searchResults&searchType=2&placement=1841844&sortBy=date,
Chuyên Viên Tối Ưu Vận Hành Ngành TMĐT Quốc Tế Amazon Thu Nhập 15-20Tr,Chuyên Viên Tối Ưu Vận Hành Ngành TMĐT Quốc Tế Amazon Thu Nhập 15-20Tr,,1 năm kinh nghiệm,Công Ty TNHH Equarus Decor,"Số 36, Louis 2, KĐT Louis City, Đại Mỗ, Nam Từ Liêm, Hà Nội",15tr-20tr ₫/tháng,"ERP, Odoo, E Commerce, Quản Lý Hiệu Suất, Quản Lý Cở Sở Dữ Liệu",https://www.vietnamworks.com/chuyen-vien-toi-uu-van-hanh-nganh-tmdt-quoc-te-amazon-thu-nhap-15-20tr-1839479-jv?source=searchResults&searchType=2&placement=1839929&sortBy=date,
Kĩ Sư IBS (Chi Nhánh HN),Kĩ Sư IBS Chi Nhánh HN,,Không yêu cầu năm kinh nghiệm,Công Ty Cổ Phần Xây dựng Hạ tầng Kỹ thuật,"Tầng 13, Tòa nhà Vinaconex 9, Phạm Hùng, Mễ Trì, Nam Từ Liêm, Hà Nội",6tr-10tr ₫/tháng,"Điện Tử Viễn Thông, Xử Lý Sự Cố, Tin Học Văn Phòng, Kỹ thuật, Viễn Thông",https://www.vietnamworks.com/ki-su-ibs-chi-nhanh-hn-1844685-jv?source=searchResults&searchType=2&placement=1844785&sortBy=date,
System Engineer,System Engineer,,5 năm kinh nghiệm,,,Thương lượng,"Azure, Network Management, PowerShell, Systems Engineering, Microsoft Server SQL",https://www.vietnamworks.com/system-engineer-1841597-jv?source=searchResults&searchType=2&placement=1841797&sortBy=date,
Risk Analytics Supervisor,Risk Analytics Supervisor,,Không yêu cầu năm kinh nghiệm,Shinhan Vietnam Finance Company Limited,17F & 23/F. Saigon Trade Center. 37 Ton Duc Thang. D.1. HCMC. Vietnam,"$ 800-1,200 /tháng","Risk Monitoring, Risk Analysis, Risk Management, SQL, Python",https://www.vietnamworks.com/risk-analytics-supervisor-1844478-jv?source=searchResults&searchType=2&placement=1844878&sortBy=date,
SAP FICO Consultant,SAP FICO Consultant,,1 năm kinh nghiệm,Citek Technology Joint-Stock Company,"No. 73-75, Street 41, Van Phuc Urban Area, Hiep Binh Phuoc Ward, City. Thu Duc, HCMC",Thương lượng,"SAP Business Intelligence, SAP Accounting, SAP ERP, ERP Dynamic, ERP System",https://www.vietnamworks.com/sap-fico-consultant--1839371-jv?source=searchResults&searchType=2&placement=1839621&sortBy=date,
Chuyên Viên Kỹ Thuật,Chuyên Viên Kỹ Thuật,,Không yêu cầu năm kinh nghiệm,Công Ty TNHH Thiết Bị Viễn Thông ANSV,Hà Nội Hồ Chí Minh,"Tới $ 1,750 /tháng","Công Nghệ Thông Tin, Điện Tử Viễn Thông, Quản Trị Mạng, Triển Khai Dự Án, Hỗ Trợ Kỹ Thuật",https://www.vietnamworks.com/chuyen-vien-ky-thuat--1843277-jv?source=searchResults&searchType=2&placement=1843477&sortBy=date,
Product Solutions Manager,Product Solutions Manager,,3 năm kinh nghiệm,Prudential Vietnam Assurance,"8 Đường Hoàng Văn Thái, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Thương lượng,"Communication Skills, Customer Centric, Data Analytics, Product Development, Project Management",https://www.vietnamworks.com/product-solutions-manager-1835715-jv?source=searchResults&searchType=2&placement=1835965&sortBy=date,
Data Processing Intern,Data Processing Intern,,Không yêu cầu năm kinh nghiệm,Fiingroup,"Level 10, Peakview Tower, 36 Hoang Cau, Dong Da, Ha Noi",Thương lượng,"Data Entry, Data Processing",https://www.vietnamworks.com/data-processing-intern-1841446-jv?source=searchResults&searchType=2&placement=1842096&sortBy=date,
iOS App Developer,iOS App Developer,,5 năm kinh nghiệm,Cathay United Bank,"Taipei, Taiwan",Thương lượng,"Agile Development, CI/CD, Clean Architecture, MVVM Architecture, RESTful API",https://www.vietnamworks.com/ios-app-developer-1839431-jv?source=searchResults&searchType=2&placement=1839631&sortBy=date,
IT System & Network Administrator,IT System & Network Administrator,,Không yêu cầu năm kinh nghiệm,Công Ty TNHH R Techno Việt Nam,"107 Đường Tân Cảng, Phường 25, Quận Bình Thạnh, TP.HCM","$ 600-1,000 /tháng","IT System Administration, IT Hardware, Technical Support, Tiếng Nhật Trung Cấp, Quản Trị Mạng Lan",https://www.vietnamworks.com/it-system-network-administrator-10--1843834-jv?source=searchResults&searchType=2&placement=1844284&sortBy=date,
Product Owner - Generative AI for Enterprise Customer Operations,Product Owner - Generative AI for Enterprise Customer Operations,,5 năm kinh nghiệm,Trusting Social,"Havana Tower, 132, Ham Nghi Str., Ben Thanh Ward, Dist. 1, HCMC","$ 2,000-3,000 /tháng","product owner, Product Development, business analyst, Product Management",https://www.vietnamworks.com/product-owner-generative-ai-for-enterprise-customer-operations-1837989-jv?source=searchResults&searchType=2&placement=1838289&sortBy=date,
Incubation Lead,Incubation Lead,,5 năm kinh nghiệm,Công Ty TNHH Onpoint,"Tầng 4 toà nhà AB, 27B Nguyễn Đình Chiểu, P. Đa Kao, Quận 1, TP.HCM",Thương lượng,"Innovation Management, Product Development, Technology, Market Research, Startup Development",https://www.vietnamworks.com/incubation-lead--1841988-jv?source=searchResults&searchType=2&placement=1842388&sortBy=date,
Senior PHP Developer (React),Senior PHP Developer React,Senior,Không yêu cầu năm kinh nghiệm,Arctx Solution LLC,"F7th, B tower of Epic building, Lane 19 Duy Tan, Cau Giay, Ha Noi",Thương lượng,"React Js, PHP, communication, Goal Oriented, Time Management",https://www.vietnamworks.com/senior-php-developer-react-1839553-jv?source=searchResults&searchType=2&placement=1840103&sortBy=date,
高級工程师,高級工程师,,5 năm kinh nghiệm,,,"$ 1,000-2,000 /tháng","SolidWorks, AutoCAD, 新產品開發經驗, Mechanical Design, Time Management",https://www.vietnamworks.com/gao-ji-gong-cheng-shi-1835461-jv?source=searchResults&searchType=2&placement=1836161&sortBy=date,
Nhân Viên Quản Trị Mạng – Netwok Staff,Nhân Viên Quản Trị Mạng – Netwok Staff,,1 năm kinh nghiệm,Global Data Service Joint Stock Company (Gds),"Room No. 722, HITC Bldg, 239 Xuan Thuy, Cau Giay, Hanoi",Từ 14.5tr ₫/tháng,"Firewall, IT System Administration, CCNA, Networking, Cấu Hình Router",https://www.vietnamworks.com/nhan-vien-quan-tri-mang-netwok-staff-1842232-jv?source=searchResults&searchType=2&placement=1842582&sortBy=date,
IT Manager,IT Manager,,5 năm kinh nghiệm,Maybank Vietnam,"HCM, Vietnam",Thương lượng,"Banking Operation, Banking System, Customer Service, IT Management, IT Security",https://www.vietnamworks.com/it-manager-1840149-jv?source=searchResults&searchType=2&placement=1840649&sortBy=date,
Chuyên Viên ERP Phân Hệ Tài Chính Kế Toán,Chuyên Viên ERP Phân Hệ Tài Chính Kế Toán,,Không yêu cầu năm kinh nghiệm,"TOSY Robotics Manufacturing Co., Ltd","Tầng 4, tòa Starcity, 23 Lê Văn Lương, Thanh Xuân, Hà Nội",Thương lượng,"Power BI, Công nghệ thông tin, ERP, Kế toán, SAP",https://www.vietnamworks.com/chuyen-vien-erp-phan-he-tai-chinh-ke-toan-1842520-jv?source=searchResults&searchType=2&placement=1842570&sortBy=date,
Chuyên Viên Quản Lý Hồ Sơ Dự Án - K.CNTT,Chuyên Viên Quản Lý Hồ Sơ Dự Án - K.CNTT,,2 năm kinh nghiệm,Ngân Hàng TMCP Đại Chúng Việt Nam,Số 22 Ngô Quyền - Hà Nội - Việt Nam,"$ 1,000-1,500 /tháng","Quản Trị Dữ Liệu Ngân Hàng, Hồ Sơ Dự Án, Công Nghệ Thông Tin, Lưu Trữ Hồ Sơ, Tổng Hợp Tài Liệu",https://www.vietnamworks.com/chuyen-vien-quan-ly-ho-so-du-an-k-cntt-1843685-jv?source=searchResults&searchType=2&placement=1843735&sortBy=date,
Experienced Salesforce Developer - French,Experienced Salesforce Developer - French,,4 năm kinh nghiệm,Capgemini Vietnam,"Centre Point, 106 Nguyễn Văn Trỗi, Phường 08, Quận Phú Nhuận, Thành phố Hồ Chí Minh",Thương lượng,"Salesforce, Apex development, Cloud, French, Salesforce Development",https://www.vietnamworks.com/experienced-salesforce-developer-french--1843077-jv?source=searchResults&searchType=2&placement=1843127&sortBy=date,
3 Web Developer .NET Or App Mobile,3 Web Developer .NET Or App Mobile,,1 năm kinh nghiệm,Thư Viện Pháp Luật,"17 Nguyễn Gia Thiều, Võ Thị Sáu, Quận 3, Hồ Chí Minh, Việt Nam","$ 800-1,500 /tháng","Lập Trình, .NET Core 2.0, AngularJS, Bất động sản, Tuyển Dụng",https://www.vietnamworks.com/3-web-developer-net-or-app-mobile-1838760-jv?source=searchResults&searchType=2&placement=1838910&sortBy=date,
Solution / Technical Architect ( ReactJS or Flutter ),Solution / Technical Architect ReactJS or Flutter,,5 năm kinh nghiệm,GTV Vietnam,"VOV Building, Nguyen Thi Minh Khai, District 1, HCMC",Thương lượng,"Solution Architecture, Mobile Application Development, React Js, Flutter, Front End",https://www.vietnamworks.com/solution-technical-architect-reactjs-or-flutter-1829973-jv?source=searchResults&searchType=2&placement=1830573&sortBy=date,
Digital Workflow Solutions Business Analyst,Digital Workflow Solutions Business Analyst,,1 năm kinh nghiệm,Crown Worldwide,Vietnam,Thương lượng,"Recording System, Workflow Management, Digital Solution, Process Improvement, Business analysis",https://www.vietnamworks.com/digital-workflow-solutions-business-analyst-1837806-jv?source=searchResults&searchType=2&placement=1837906&sortBy=date,
Chuyên Viên Kiểm Thử,Chuyên Viên Kiểm Thử,,1 năm kinh nghiệm,Công Ty Cổ Phần Thanh Toán Quốc Gia Việt Nam,"Tầng 2, Tầng 17 và tầng 18, tòa nhà Pacific Place, số 83B phố Lý Thường Kiệt, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội",Thương lượng,"ISTQB, Kiểm Thử, SDLC, Tài chính Ngân hàng, Testing",https://www.vietnamworks.com/chuyen-vien-kiem-thu-1836166-jv?source=searchResults&searchType=2&placement=1836416&sortBy=date,
IT Assistant Manager (SAP FICO),IT Assistant Manager SAP FICO,,2 năm kinh nghiệm,Công Ty TNHH Sơn TOA Việt Nam,"Đường số 2, KCN Tân Đông Hiệp A, Dĩ An, Bình Dương",Thương lượng,"Anh Văn Giao Tiếp, SAP FICO, IT Phần Mềm",https://www.vietnamworks.com/it-assistant-manager-sap-fico-1822653-jv?source=searchResults&searchType=2&placement=1823253&sortBy=date,
Chuyên Viên Quản Lý Hiệu Suất (KPI) - Tiếng Trung,Chuyên Viên Quản Lý Hiệu Suất KPI - Tiếng Trung,,1 năm kinh nghiệm,Công Ty TNHH Best Logistics Technology (Việt Nam),"Tầng 20th , UOA tower, 6 Tân Trào, phường Tân Phú, Quận 7, HCM city, Vietnam","$ 800-1,500 /tháng","KPI Management, Data Analysis, Business analysis, Power BI, Data Studio",https://www.vietnamworks.com/chuyen-vien-quan-ly-hieu-suat-kpi-tieng-trung-1836713-jv?source=searchResults&searchType=2&placement=1836913&sortBy=date,
Web Designer Full Stack - Vietnam,Web Designer Full Stack - Vietnam,,2 năm kinh nghiệm,Audexaus,"Ho Chi Minh City, Vietnam","$ 1,000-2,000 /tháng","CSS, HTML, JavaScript, Problem-solving, Version Control",https://www.vietnamworks.com/web-designer-full-stack-vietnam-1843205-jv?source=searchResults&searchType=2&placement=1843755&sortBy=date,
